cluster,feature,mean,median,std,min,max
2,Max temp_D61_D90,31.5,31.5,0.0,31.5,31.5
2,Min temp_D91_D120,15.5,15.5,0.0,15.5,15.5
2,Max temp_D91_D120,32.5,32.5,0.0,32.5,32.5
2,Inst Wind Speed_D1_D30(in Knots),8.0,8.0,0.0,8.0,8.0
2,Inst Wind Speed_D31_D60(in Knots),6.0,6.0,0.0,6.0,6.0
2,Inst Wind Speed_D61_D90(in Knots),8.0,8.0,0.0,8.0,8.0
2,Inst Wind Speed_D91_D120(in Knots),6.0,6.0,0.0,6.0,6.0
2,Relative Humidity_D1_D30,88.5,88.5,0.0,88.5,88.5
2,Relative Humidity_D31_D60,95.0,95.0,0.0,95.0,95.0
2,Relative Humidity_D61_D90,81.0,81.0,0.0,81.0,81.0
2,Relative Humidity_D91_D120,84.0,84.0,0.0,84.0,84.0
2,Trash(in bundles),432.25,400.0,73.65488334797757,320.0,600.0
2,Paddy yield(in Kg),29231.158333333333,30775.0,3902.220008629212,21812.0,38460.0
3,Hectares,2.2,2.0,0.7857425178439984,1.0,3.0
3,Seedrate(in Kg),55.0,50.0,19.64356294609996,25.0,75.0
3,LP_Mainfield(in Tonnes),27.5,25.0,9.82178147304998,12.5,37.5
3,Nursery area (Cents),44.0,40.0,15.714850356879968,20.0,60.0
3,LP_nurseryarea(in Tonnes),2.2,2.0,0.7857425178439984,1.0,3.0
3,DAP_20days,88.0,80.0,31.429700713759935,40.0,120.0
3,Weed28D_thiobencarb,4.4,4.0,1.5714850356879968,2.0,6.0
3,Urea_40Days,59.686,54.26,21.317194509107672,27.13,81.39
3,Potassh_50Days,22.836,20.76,8.156007335220703,10.38,31.14
3,Micronutrients_70Days,33.0,30.0,11.786137767659975,15.0,45.0
3,Pest_60Day(in ml),1320.0,1200.0,471.445510706399,600.0,1800.0
3,30DRain( in mm),19.599999999999994,19.6,7.124709421159627e-15,19.6,19.6
3,30DAI(in mm),20.400000000000006,20.4,7.124709421159627e-15,20.4,20.4
3,30_50DRain( in mm),187.2,187.2,0.0,187.2,187.2
3,30_50DAI(in mm),270.80000000000007,270.8,5.699767536927702e-14,270.8,270.8
3,51_70DRain(in mm),167.0,167.0,0.0,167.0,167.0
3,51_70AI(in mm),250.0,250.0,0.0,250.0,250.0
3,71_105DRain(in mm),61.0,61.0,0.0,61.0,61.0
3,71_105DAI(in mm),64.0,64.0,0.0,64.0,64.0
3,Min temp_D1_D30,18.5,18.5,0.0,18.5,18.5
3,Max temp_D1_D30,34.0,34.0,0.0,34.0,34.0
3,Min temp_D31_D60,16.0,16.0,0.0,16.0,16.0
3,Max temp_D31_D60,30.0,30.0,0.0,30.0,30.0
3,Min temp_D61_D90,15.5,15.5,0.0,15.5,15.5
3,Max temp_D61_D90,31.0,31.0,0.0,31.0,31.0
3,Min temp_D91_D120,16.0,16.0,0.0,16.0,16.0
3,Max temp_D91_D120,33.0,33.0,0.0,33.0,33.0
3,Inst Wind Speed_D1_D30(in Knots),4.0,4.0,0.0,4.0,4.0
3,Inst Wind Speed_D31_D60(in Knots),10.0,10.0,0.0,10.0,10.0
3,Inst Wind Speed_D61_D90(in Knots),8.0,8.0,0.0,8.0,8.0
3,Inst Wind Speed_D91_D120(in Knots),10.0,10.0,0.0,10.0,10.0
3,Relative Humidity_D1_D30,72.0,72.0,0.0,72.0,72.0
3,Relative Humidity_D31_D60,78.0,78.0,0.0,78.0,78.0
3,Relative Humidity_D61_D90,88.0,88.0,0.0,88.0,88.0
3,Relative Humidity_D91_D120,85.0,85.0,0.0,85.0,85.0
3,Trash(in bundles),196.9189189189189,200.0,73.00028974718346,80.0,300.0
3,Paddy yield(in Kg),12657.778378378378,11746.0,4516.201834550747,5410.0,17991.0
4,Hectares,4.348242811501597,4.0,0.9389054141664347,3.0,6.0
4,Seedrate(in Kg),108.70607028753993,100.0,23.47263535416087,75.0,150.0
4,LP_Mainfield(in Tonnes),54.353035143769965,50.0,11.736317677080436,37.5,75.0
4,Nursery area (Cents),86.96485623003196,80.0,18.778108283328695,60.0,120.0
4,LP_nurseryarea(in Tonnes),4.348242811501597,4.0,0.9389054141664347,3.0,6.0
4,DAP_20days,173.9297124600639,160.0,37.55621656665739,120.0,240.0
4,Weed28D_thiobencarb,8.696485623003195,8.0,1.8778108283328694,6.0,12.0
4,Urea_40Days,117.96782747603837,108.52,25.472503886335378,81.39,162.78
4,Potassh_50Days,45.13476038338657,41.52,9.745838199047594,31.14,62.28
4,Micronutrients_70Days,65.22364217252397,60.0,14.08358121249652,45.0,90.0
4,Pest_60Day(in ml),2608.9456869009587,2400.0,563.3432484998609,1800.0,3600.0
4,30DRain( in mm),18.099999999999998,18.1,3.558402575444794e-15,18.1,18.1
4,30DAI(in mm),21.900000000000002,21.9,3.558402575444794e-15,21.9,21.9
4,30_50DRain( in mm),185.59999999999997,185.6,2.846722060355835e-14,185.6,185.6
4,30_50DAI(in mm),272.40000000000003,272.4,5.69344412071167e-14,272.4,272.4
4,51_70DRain(in mm),166.1,166.1,0.0,166.1,166.1
4,51_70AI(in mm),250.90000000000003,250.9,2.846722060355835e-14,250.9,250.9
4,71_105DRain(in mm),60.199999999999996,60.2,7.116805150889587e-15,60.2,60.2
4,71_105DAI(in mm),64.8,64.8,0.0,64.8,64.8
4,Min temp_D1_D30,18.0,18.0,0.0,18.0,18.0
4,Max temp_D1_D30,31.0,31.0,0.0,31.0,31.0
4,Min temp_D31_D60,15.5,15.5,0.0,15.5,15.5
4,Max temp_D31_D60,34.0,34.0,0.0,34.0,34.0
4,Min temp_D61_D90,15.0,15.0,0.0,15.0,15.0
4,Max temp_D61_D90,33.0,33.0,0.0,33.0,33.0
4,Min temp_D91_D120,15.0,15.0,0.0,15.0,15.0
4,Max temp_D91_D120,31.5,31.5,0.0,31.5,31.5
4,Inst Wind Speed_D1_D30(in Knots),6.0,6.0,0.0,6.0,6.0
4,Inst Wind Speed_D31_D60(in Knots),6.0,6.0,0.0,6.0,6.0
4,Inst Wind Speed_D61_D90(in Knots),8.0,8.0,0.0,8.0,8.0
4,Inst Wind Speed_D91_D120(in Knots),10.0,10.0,0.0,10.0,10.0
4,Relative Humidity_D1_D30,78.60000000000001,78.6,1.4233610301779175e-14,78.6,78.6
4,Relative Humidity_D31_D60,80.0,80.0,0.0,80.0,80.0
4,Relative Humidity_D61_D90,92.0,92.0,0.0,92.0,92.0
4,Relative Humidity_D91_D120,88.0,88.0,0.0,88.0,88.0
4,Trash(in bundles),394.21725239616615,400.0,91.42800913968863,240.0,600.0
4,Paddy yield(in Kg),26496.97444089457,25584.0,6305.131769753906,16230.0,38508.0
5,Hectares,3.6870588235294117,4.0,1.456425923481258,1.0,6.0
5,Seedrate(in Kg),92.17647058823529,100.0,36.410648087031454,25.0,150.0
5,LP_Mainfield(in Tonnes),46.088235294117645,50.0,18.205324043515727,12.5,75.0
5,Nursery area (Cents),73.74117647058823,80.0,29.128518469625163,20.0,120.0
5,LP_nurseryarea(in Tonnes),3.6870588235294117,4.0,1.456425923481258,1.0,6.0
5,DAP_20days,147.48235294117646,160.0,58.25703693925033,40.0,240.0
5,Weed28D_thiobencarb,7.374117647058823,8.0,2.912851846962516,2.0,12.0
5,Urea_40Days,100.02990588235295,108.52,39.51283530404653,27.13,162.78
5,Potassh_50Days,38.27167058823528,41.52,15.117701085735458,10.38,62.28
5,Micronutrients_70Days,55.305882352941175,60.0,21.84638885221887,15.0,90.0
5,Pest_60Day(in ml),2212.235294117647,2400.0,873.855554088755,600.0,3600.0
5,30DRain( in mm),18.5,18.5,0.0,18.5,18.5
5,30DAI(in mm),21.5,21.5,0.0,21.5,21.5
5,30_50DRain( in mm),185.2,185.2,0.0,185.2,185.2
5,30_50DAI(in mm),272.80000000000007,272.8,5.691041171712835e-14,272.8,272.8
5,51_70DRain(in mm),165.29999999999995,165.3,5.691041171712835e-14,165.3,165.3
5,51_70AI(in mm),251.69999999999996,251.7,2.8455205858564173e-14,251.7,251.7
5,71_105DRain(in mm),60.0,60.0,0.0,60.0,60.0
5,71_105DAI(in mm),65.0,65.0,0.0,65.0,65.0
5,Min temp_D1_D30,20.0,20.0,0.0,20.0,20.0
5,Max temp_D1_D30,35.0,35.0,0.0,35.0,35.0
5,Min temp_D31_D60,18.0,18.0,0.0,18.0,18.0
5,Max temp_D31_D60,30.0,30.0,0.0,30.0,30.0
5,Min temp_D61_D90,17.5,17.5,0.0,17.5,17.5
5,Max temp_D61_D90,33.5,33.5,0.0,33.5,33.5
5,Min temp_D91_D120,18.0,18.0,0.0,18.0,18.0
5,Max temp_D91_D120,33.0,33.0,0.0,33.0,33.0
5,Inst Wind Speed_D1_D30(in Knots),4.0,4.0,0.0,4.0,4.0
5,Inst Wind Speed_D31_D60(in Knots),12.0,12.0,0.0,12.0,12.0
5,Inst Wind Speed_D61_D90(in Knots),4.0,4.0,0.0,4.0,4.0
5,Inst Wind Speed_D91_D120(in Knots),12.0,12.0,0.0,12.0,12.0
5,Relative Humidity_D1_D30,85.0,85.0,0.0,85.0,85.0
5,Relative Humidity_D31_D60,96.0,96.0,0.0,96.0,96.0
5,Relative Humidity_D61_D90,84.0,84.0,0.0,84.0,84.0
5,Relative Humidity_D91_D120,79.0,79.0,0.0,79.0,79.0
5,Trash(in bundles),330.0705882352941,360.0,134.36343528430064,80.0,600.0
5,Paddy yield(in Kg),22328.967058823528,24604.0,9332.203034150642,5410.0,38304.0
6,Hectares,4.755434782608695,5.0,0.6561159149325257,4.0,6.0
6,Seedrate(in Kg),118.88586956521739,125.0,16.402897873313147,100.0,150.0
6,LP_Mainfield(in Tonnes),59.442934782608695,62.5,8.201448936656574,50.0,75.0
6,Nursery area (Cents),95.1086956521739,100.0,13.122318298650518,80.0,120.0
6,LP_nurseryarea(in Tonnes),4.755434782608695,5.0,0.6561159149325257,4.0,6.0
6,DAP_20days,190.2173913043478,200.0,26.244636597301035,160.0,240.0
6,Weed28D_thiobencarb,9.51086956521739,10.0,1.3122318298650515,8.0,12.0
6,Urea_40Days,129.01494565217394,135.65,17.800424772119428,108.52,162.78
6,Potassh_50Days,49.36141304347825,51.9,6.810483196999618,41.52,62.28
6,Micronutrients_70Days,71.33152173913044,75.0,9.841738723987888,60.0,90.0
6,Pest_60Day(in ml),2853.2608695652175,3000.0,393.6695489595155,2400.0,3600.0
6,30DRain( in mm),18.099999999999998,18.1,3.5575505955112034e-15,18.1,18.1
6,30DAI(in mm),21.900000000000002,21.9,3.5575505955112034e-15,21.9,21.9
6,30_50DRain( in mm),185.59999999999997,185.6,2.846040476408963e-14,185.6,185.6
6,30_50DAI(in mm),272.40000000000003,272.4,5.692080952817926e-14,272.4,272.4
6,51_70DRain(in mm),166.09999999999997,166.1,2.846040476408963e-14,166.1,166.1
6,51_70AI(in mm),250.90000000000003,250.9,2.846040476408963e-14,250.9,250.9
6,71_105DRain(in mm),60.2,60.2,0.0,60.2,60.2
6,71_105DAI(in mm),64.79999999999998,64.8,1.4230202382044814e-14,64.8,64.8
6,Min temp_D1_D30,20.5,20.5,0.0,20.5,20.5
6,Max temp_D1_D30,32.0,32.0,0.0,32.0,32.0
6,Min temp_D31_D60,17.5,17.5,0.0,17.5,17.5
6,Max temp_D31_D60,28.0,28.0,0.0,28.0,28.0
6,Min temp_D61_D90,18.0,18.0,0.0,18.0,18.0
6,Max temp_D61_D90,34.0,34.0,0.0,34.0,34.0
6,Min temp_D91_D120,16.5,16.5,0.0,16.5,16.5
6,Max temp_D91_D120,35.0,35.0,0.0,35.0,35.0
6,Inst Wind Speed_D1_D30(in Knots),10.0,10.0,0.0,10.0,10.0
6,Inst Wind Speed_D31_D60(in Knots),12.0,12.0,0.0,12.0,12.0
6,Inst Wind Speed_D61_D90(in Knots),10.0,10.0,0.0,10.0,10.0
6,Inst Wind Speed_D91_D120(in Knots),12.0,12.0,0.0,12.0,12.0
6,Relative Humidity_D1_D30,72.70000000000002,72.7,1.4230202382044814e-14,72.7,72.7
6,Relative Humidity_D31_D60,91.0,91.0,0.0,91.0,91.0
6,Relative Humidity_D61_D90,83.0,83.0,0.0,83.0,83.0
6,Relative Humidity_D91_D120,81.0,81.0,0.0,81.0,81.0
6,Trash(in bundles),427.9347826086956,400.0,74.04303989505591,320.0,600.0
6,Paddy yield(in Kg),29363.567934782608,30780.0,4210.097092960806,21640.0,38814.0
7,Hectares,4.758490566037736,5.0,0.6529171029172657,4.0,6.0
7,Seedrate(in Kg),118.9622641509434,125.0,16.322927572931643,100.0,150.0
7,LP_Mainfield(in Tonnes),59.4811320754717,62.5,8.161463786465822,50.0,75.0
7,Nursery area (Cents),95.16981132075472,100.0,13.058342058345318,80.0,120.0
7,LP_nurseryarea(in Tonnes),4.758490566037736,5.0,0.6529171029172657,4.0,6.0
7,DAP_20days,190.33962264150944,200.0,26.116684116690635,160.0,240.0
7,Weed28D_thiobencarb,9.516981132075472,10.0,1.3058342058345314,8.0,12.0
7,Urea_40Days,129.0978490566038,135.65,17.713641002145426,108.52,162.78
7,Potassh_50Days,49.393132075471684,51.9,6.777279528281216,41.52,62.28
7,Micronutrients_70Days,71.37735849056604,75.0,9.793756543758985,60.0,90.0
7,Pest_60Day(in ml),2855.0943396226417,3000.0,391.75026175035936,2400.0,3600.0
7,30DRain( in mm),19.6,19.6,0.0,19.6,19.6
7,30DAI(in mm),20.4,20.4,0.0,20.4,20.4
7,30_50DRain( in mm),187.2,187.2,0.0,187.2,187.2
7,30_50DAI(in mm),270.80000000000007,270.8,5.695097509484932e-14,270.8,270.8
7,51_70DRain(in mm),167.0,167.0,0.0,167.0,167.0
7,51_70AI(in mm),250.0,250.0,0.0,250.0,250.0
7,71_105DRain(in mm),61.0,61.0,0.0,61.0,61.0
7,71_105DAI(in mm),64.0,64.0,0.0,64.0,64.0
7,Min temp_D1_D30,18.5,18.5,0.0,18.5,18.5
7,Max temp_D1_D30,34.0,34.0,0.0,34.0,34.0
7,Min temp_D31_D60,16.0,16.0,0.0,16.0,16.0
7,Max temp_D31_D60,30.0,30.0,0.0,30.0,30.0
7,Min temp_D61_D90,15.5,15.5,0.0,15.5,15.5
7,Max temp_D61_D90,31.0,31.0,0.0,31.0,31.0
7,Min temp_D91_D120,16.0,16.0,0.0,16.0,16.0
7,Max temp_D91_D120,33.0,33.0,0.0,33.0,33.0
7,Inst Wind Speed_D1_D30(in Knots),4.0,4.0,0.0,4.0,4.0
7,Inst Wind Speed_D31_D60(in Knots),10.0,10.0,0.0,10.0,10.0
7,Inst Wind Speed_D61_D90(in Knots),8.0,8.0,0.0,8.0,8.0
7,Inst Wind Speed_D91_D120(in Knots),10.0,10.0,0.0,10.0,10.0
7,Relative Humidity_D1_D30,72.0,72.0,0.0,72.0,72.0
7,Relative Humidity_D31_D60,78.0,78.0,0.0,78.0,78.0
7,Relative Humidity_D61_D90,88.0,88.0,0.0,88.0,88.0
7,Relative Humidity_D91_D120,85.0,85.0,0.0,85.0,85.0
7,Trash(in bundles),426.9433962264151,400.0,68.87142585301989,320.0,600.0
7,Paddy yield(in Kg),29145.811320754718,30575.0,4061.0492069457855,21640.0,38814.0
8,Hectares,1.9666666666666666,2.0,0.7583488226423074,1.0,3.0
8,Seedrate(in Kg),49.166666666666664,50.0,18.95872056605769,25.0,75.0
8,LP_Mainfield(in Tonnes),24.583333333333332,25.0,9.479360283028845,12.5,37.5
8,Nursery area (Cents),39.333333333333336,40.0,15.166976452846148,20.0,60.0
8,LP_nurseryarea(in Tonnes),1.9666666666666666,2.0,0.7583488226423074,1.0,3.0
8,DAP_20days,78.66666666666667,80.0,30.333952905692296,40.0,120.0
8,Weed28D_thiobencarb,3.933333333333333,4.0,1.5166976452846148,2.0,6.0
8,Urea_40Days,53.35566666666667,54.26,20.5740035582858,27.13,81.39
8,Potassh_50Days,20.413999999999994,20.76,7.871660779027151,10.38,31.14
8,Micronutrients_70Days,29.5,30.0,11.375232339634612,15.0,45.0
8,Pest_60Day(in ml),1180.0,1200.0,455.0092935853845,600.0,1800.0
8,30DRain( in mm),18.356296296296293,18.5,0.19226971738718904,18.1,18.5
8,30DAI(in mm),21.6437037037037,21.5,0.19226971738718904,21.5,21.9
8,30_50DRain( in mm),185.34370370370368,185.2,0.19226971738719242,185.2,185.6
8,30_50DAI(in mm),272.6562962962963,272.8,0.1922697173872061,272.4,272.8
8,51_70DRain(in mm),165.5874074074074,165.3,0.3845394347743712,165.3,166.1
8,51_70AI(in mm),251.41259259259263,251.7,0.3845394347743713,250.9,251.7
8,71_105DRain(in mm),60.07185185185186,60.0,0.09613485869359621,60.0,60.2
8,71_105DAI(in mm),64.92814814814814,65.0,0.09613485869359621,64.8,65.0
8,Min temp_D1_D30,18.64074074074074,19.0,0.48067429346797425,18.0,19.0
8,Max temp_D1_D30,32.28148148148148,33.0,0.9613485869359485,31.0,33.0
8,Min temp_D31_D60,16.461111111111112,17.0,0.7210114402019615,15.5,17.0
8,Max temp_D31_D60,32.71851851851852,32.0,0.9613485869359485,32.0,34.0
8,Min temp_D61_D90,15.96111111111111,16.5,0.7210114402019614,15.0,16.5
8,Max temp_D61_D90,32.03888888888889,31.5,0.7210114402019614,31.5,33.0
8,Min temp_D91_D120,15.32037037037037,15.5,0.24033714673398712,15.0,15.5
8,Max temp_D91_D120,32.14074074074074,32.5,0.48067429346797425,31.5,32.5
8,Inst Wind Speed_D1_D30(in Knots),7.281481481481482,8.0,0.9613485869359485,6.0,8.0
8,Inst Wind Speed_D31_D60(in Knots),6.0,6.0,0.0,6.0,6.0
8,Inst Wind Speed_D61_D90(in Knots),8.0,8.0,0.0,8.0,8.0
8,Inst Wind Speed_D91_D120(in Knots),7.437037037037037,6.0,1.922697173871897,6.0,10.0
8,Relative Humidity_D1_D30,84.94333333333333,88.5,4.758675505332948,78.6,88.5
8,Relative Humidity_D31_D60,89.61111111111111,95.0,7.210114402019613,80.0,95.0
8,Relative Humidity_D61_D90,84.95185185185186,81.0,5.287417228147717,81.0,92.0
8,Relative Humidity_D91_D120,85.43703703703704,84.0,1.922697173871897,84.0,88.0
8,Trash(in bundles),178.92592592592592,180.0,70.41007126652106,80.0,300.0
8,Paddy yield(in Kg),11324.114814814815,11446.0,4396.16581906343,5410.0,17949.0
9,Hectares,4.757785467128028,5.0,0.6536356196385601,4.0,6.0
9,Seedrate(in Kg),118.9446366782007,125.0,16.340890490964007,100.0,150.0
9,LP_Mainfield(in Tonnes),59.47231833910035,62.5,8.170445245482004,50.0,75.0
9,Nursery area (Cents),95.15570934256056,100.0,13.072712392771203,80.0,120.0
9,LP_nurseryarea(in Tonnes),4.757785467128028,5.0,0.6536356196385601,4.0,6.0
9,DAP_20days,190.3114186851211,200.0,26.145424785542406,160.0,240.0
9,Weed28D_thiobencarb,9.515570934256056,10.0,1.3072712392771202,8.0,12.0
9,Urea_40Days,129.07871972318338,135.65,17.73313436079414,108.52,162.78
9,Potassh_50Days,49.38581314878892,51.9,6.784737731848254,41.52,62.28
9,Micronutrients_70Days,71.36678200692042,75.0,9.804534294578403,60.0,90.0
9,Pest_60Day(in ml),2854.6712802768166,3000.0,392.1813717831361,2400.0,3600.0
9,30DRain( in mm),19.599999999999998,19.6,3.558876239683223e-15,19.6,19.6
9,30DAI(in mm),20.400000000000002,20.4,3.558876239683223e-15,20.4,20.4
9,30_50DRain( in mm),187.20000000000002,187.2,2.8471009917465786e-14,187.2,187.2
9,30_50DAI(in mm),270.80000000000007,270.8,5.694201983493157e-14,270.8,270.8
9,51_70DRain(in mm),167.0,167.0,0.0,167.0,167.0
9,51_70AI(in mm),250.0,250.0,0.0,250.0,250.0
9,71_105DRain(in mm),61.0,61.0,0.0,61.0,61.0
9,71_105DAI(in mm),64.0,64.0,0.0,64.0,64.0
9,Min temp_D1_D30,19.5,19.5,0.0,19.5,19.5
9,Max temp_D1_D30,34.0,34.0,0.0,34.0,34.0
9,Min temp_D31_D60,18.5,18.5,0.0,18.5,18.5
9,Max temp_D31_D60,35.0,35.0,0.0,35.0,35.0
9,Min temp_D61_D90,17.0,17.0,0.0,17.0,17.0
9,Max temp_D61_D90,32.5,32.5,0.0,32.5,32.5
9,Min temp_D91_D120,16.0,16.0,0.0,16.0,16.0
9,Max temp_D91_D120,30.5,30.5,0.0,30.5,30.5
